日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2022-03-22 09:31,1723.88,1705.20,1723.88,1704.76,756,129831395.00,1.12,0.05,0.90,0.01
2022-03-22 09:32,1705.20,1706.01,1707.90,1705.11,305,52034337.00,0.16,0.05,0.81,0.00
2022-03-22 09:33,1706.01,1706.01,1707.90,1705.11,250,42632657.00,0.16,0.00,0.00,0.00
2022-03-22 09:34,1706.01,1710.99,1711.00,1706.01,193,32979809.00,0.29,0.29,4.98,0.00
2022-03-22 09:35,1709.57,1707.98,1710.98,1707.79,118,20161588.00,0.19,-0.18,-3.01,0.00
2022-03-22 09:36,1708.50,1712.00,1712.00,1707.80,146,24958850.00,0.25,0.24,4.02,0.00
2022-03-22 09:37,1713.13,1710.00,1713.13,1710.00,89,15233112.00,0.18,-0.12,-2.00,0.00
2022-03-22 09:38,1710.01,1712.00,1715.00,1709.00,223,38184390.00,0.35,0.12,2.00,0.00
2022-03-22 09:39,1712.97,1707.00,1712.97,1707.00,134,22907058.00,0.35,-0.29,-5.00,0.00
2022-03-22 09:40,1707.00,1708.15,1709.84,1707.00,115,19643677.00,0.17,0.07,1.15,0.00
2022-03-22 09:41,1709.54,1705.10,1709.54,1705.10,185,31562779.00,0.26,-0.18,-3.05,0.00
2022-03-22 09:42,1705.10,1701.06,1705.10,1700.01,304,51763781.00,0.30,-0.24,-4.04,0.00
2022-03-22 09:43,1701.19,1702.18,1705.11,1701.05,106,18045577.00,0.24,0.07,1.12,0.00
2022-03-22 09:44,1702.09,1705.00,1705.11,1702.00,114,19414966.00,0.18,0.17,2.82,0.00
2022-03-22 09:45,1705.00,1702.08,1705.00,1702.08,66,11237663.00,0.17,-0.17,-2.92,0.00
2022-03-22 09:46,1702.08,1704.00,1704.00,1702.05,108,18390194.00,0.11,0.11,1.92,0.00
2022-03-22 09:47,1704.00,1705.30,1707.98,1703.98,92,15690233.00,0.23,0.08,1.30,0.00
2022-03-22 09:48,1705.30,1702.08,1705.30,1702.08,228,38818056.00,0.19,-0.19,-3.22,0.00
2022-03-22 09:49,1701.84,1700.52,1701.84,1700.00,152,25853573.00,0.11,-0.09,-1.56,0.00
2022-03-22 09:50,1701.00,1699.00,1701.20,1699.00,216,36722397.00,0.13,-0.09,-1.52,0.00
2022-03-22 09:51,1698.84,1703.01,1704.18,1698.01,139,23643554.00,0.36,0.24,4.01,0.00
2022-03-22 09:52,1701.07,1701.13,1703.00,1700.95,56,9527035.00,0.12,-0.11,-1.88,0.00
2022-03-22 09:53,1701.13,1701.96,1703.34,1700.03,41,6976672.00,0.19,0.05,0.83,0.00
2022-03-22 09:54,1701.96,1701.00,1702.00,1700.80,46,7826800.00,0.07,-0.06,-0.96,0.00
2022-03-22 09:55,1700.50,1703.85,1703.85,1700.50,59,10040222.00,0.20,0.17,2.85,0.00
2022-03-22 09:56,1703.85,1703.00,1704.00,1702.91,41,6985156.00,0.06,-0.05,-0.85,0.00
2022-03-22 09:57,1703.00,1703.00,1703.00,1702.92,77,13112055.00,0.00,0.00,0.00,0.00
2022-03-22 09:58,1702.93,1701.00,1703.00,1701.00,75,12768680.00,0.12,-0.12,-2.00,0.00
2022-03-22 09:59,1701.00,1702.00,1702.17,1701.00,72,12253945.00,0.07,0.06,1.00,0.00
2022-03-22 10:00,1701.01,1704.97,1704.97,1701.01,68,11581764.00,0.23,0.17,2.97,0.00
2022-03-22 10:01,1706.02,1707.00,1708.80,1706.02,71,12117568.00,0.16,0.12,2.03,0.00
2022-03-22 10:02,1707.01,1706.02,1708.00,1706.02,75,12803200.00,0.12,-0.06,-0.98,0.00
2022-03-22 10:03,1706.00,1702.00,1706.02,1702.00,40,6814260.00,0.24,-0.24,-4.02,0.00
2022-03-22 10:04,1702.00,1705.68,1705.99,1702.00,36,6130435.00,0.23,0.22,3.68,0.00
2022-03-22 10:05,1706.99,1703.78,1707.00,1703.69,41,7036566.00,0.19,-0.11,-1.90,0.00
2022-03-22 10:06,1703.78,1706.50,1706.69,1703.78,33,5625247.00,0.17,0.16,2.72,0.00
2022-03-22 10:07,1706.50,1704.07,1706.50,1703.01,74,12609317.00,0.20,-0.14,-2.43,0.00
2022-03-22 10:08,1704.07,1706.49,1707.00,1703.90,59,10066524.00,0.18,0.14,2.42,0.00
2022-03-22 10:09,1705.18,1704.02,1706.49,1704.02,59,10084469.00,0.14,-0.14,-2.47,0.00
2022-03-22 10:10,1704.02,1704.00,1706.49,1704.00,34,5796193.00,0.15,0.00,-0.02,0.00
2022-03-22 10:11,1704.15,1705.00,1705.00,1703.86,25,4277518.00,0.07,0.06,1.00,0.00
2022-03-22 10:12,1705.00,1704.07,1708.00,1704.02,58,9895729.00,0.23,-0.05,-0.93,0.00
2022-03-22 10:13,1704.10,1704.09,1705.05,1703.68,33,5606760.00,0.08,0.00,0.02,0.00
2022-03-22 10:14,1704.09,1704.97,1704.97,1703.16,19,3237679.00,0.11,0.05,0.88,0.00
2022-03-22 10:15,1704.97,1703.67,1705.00,1703.20,30,5158564.00,0.11,-0.08,-1.30,0.00
2022-03-22 10:16,1703.28,1703.70,1703.70,1703.18,11,1877373.00,0.03,0.00,0.03,0.00
2022-03-22 10:17,1703.83,1703.10,1703.85,1703.10,34,5740919.00,0.04,-0.04,-0.60,0.00
2022-03-22 10:18,1703.10,1702.00,1703.10,1702.00,39,6640848.00,0.06,-0.06,-1.10,0.00
2022-03-22 10:19,1702.00,1702.00,1702.71,1701.10,26,4424931.00,0.09,0.00,0.00,0.00
2022-03-22 10:20,1701.10,1701.08,1701.19,1701.08,25,4252743.00,0.01,-0.05,-0.92,0.00
2022-03-22 10:21,1701.08,1702.00,1702.00,1701.02,33,5631184.00,0.06,0.05,0.92,0.00
2022-03-22 10:22,1703.10,1702.21,1704.00,1702.01,28,4768894.00,0.12,0.01,0.21,0.00
2022-03-22 10:23,1702.21,1702.00,1704.00,1701.33,23,3916071.00,0.16,-0.01,-0.21,0.00
